group_id,start_time,end_time,event_count,src_user,dst_user,src_computer,dst_computer,event_type,auth_type,logon_type,result
1,150879,150879,1,U3625@DOM1,U3625@DOM1,C2532,C612,TGS_Success,?,?,Success
2,150879,150879,1,U3625@DOM1,U3625@DOM1,C2532,TGT,TGS_Success,?,?,Success
3,150879,150879,1,U3625@DOM1,U3625@DOM1,C612,C612,LogOff_Success,?,Network,Success
4,150879,150879,1,U391@DOM1,U391@DOM1,C457,C457,LogOff_Success,?,Network,Success
5,150879,150879,1,U391@DOM1,U391@DOM1,C467,C467,LogOff_Success,?,Network,Success
6,150879,150879,1,U4456@DOM1,U4456@DOM1,C1015,C1015,LogOff_Success,?,Network,Success
7,150879,150879,1,U4456@DOM1,U4456@DOM1,C11114,C1015,LogOn_Success,NTLM,Network,Success
8,150879,150879,1,U4745@DOM1,U4745@DOM1,C585,C585,LogOff_Success,?,Network,Success
9,150879,150879,1,U4998@DOM1,U4998@DOM1,C585,C585,LogOff_Success,?,Network,Success
10,150879,150879,1,U5025@DOM1,U5025@DOM1,C467,C467,LogOff_Success,?,Network,Success
11,150879,150879,1,U5034@DOM1,U5034@DOM1,C585,C585,LogOff_Success,?,Network,Success
12,150879,150879,1,U5034@DOM1,U5034@DOM1,C625,C625,LogOff_Success,?,Network,Success
13,150879,150879,1,U5151@DOM1,U5151@DOM1,C12558,C2162,LogOn_Success,Kerberos,Network,Success
14,150879,150879,1,U524@DOM1,U524@DOM1,C2106,C2106,LogOff_Success,?,Network,Success
15,150879,150879,1,U5256@DOM1,U5256@DOM1,C585,C585,LogOff_Success,?,Network,Success
16,150879,150879,1,U5671@DOM1,U5671@DOM1,C585,C585,LogOff_Success,?,Network,Success
17,150879,150879,1,U5674@DOM1,U5674@DOM1,C585,C585,LogOff_Success,?,Network,Success
18,150879,150879,1,U586@DOM1,U586@DOM1,C457,C457,LogOff_Success,?,Network,Success
19,150879,150879,1,U586@DOM1,U586@DOM1,C529,C529,LogOff_Success,?,Network,Success
20,150879,150879,1,U5968@DOM1,U5968@DOM1,C2855,C2855,LogOff_Success,?,Network,Success
21,150879,150879,1,U6276@DOM1,U6276@DOM1,C1015,C1015,LogOff_Success,?,Network,Success
22,150879,150879,1,U6297@DOM1,U6297@DOM1,C1065,C1065,LogOff_Success,?,Network,Success
23,150879,150879,1,U6393@DOM1,U6393@DOM1,C14474,C423,LogOn_Success,Kerberos,Network,Success
24,150879,150879,1,U6464@DOM1,U6464@DOM1,C2106,C2106,LogOff_Success,?,Network,Success
25,150879,150879,1,U646@DOM1,U646@DOM1,C1090,C625,LogOn_Success,Kerberos,Network,Success
26,150879,150879,1,U646@DOM1,U646@DOM1,C625,C625,LogOff_Success,?,Network,Success
27,150879,150879,1,U6888@DOM1,U6888@DOM1,C586,C586,LogOff_Success,?,Network,Success
28,150879,150879,2,U767@DOM1,U767@DOM1,C1450,C5618,LogOn_Success,Kerberos,Network,Success
29,150879,150879,1,U7694@DOM1,U7694@DOM1,C16770,C457,LogOn_Success,Kerberos,Network,Success
30,150879,150879,1,U7694@DOM1,U7694@DOM1,C16770,C585,LogOn_Success,Kerberos,Network,Success
31,150879,150879,1,U8049@DOM1,U8049@DOM1,C17408,C457,TGS_Success,?,?,Success
32,150879,150879,1,U806@DOM1,U806@DOM1,C612,C612,LogOff_Success,?,Network,Success
33,150879,150879,1,U806@DOM1,U806@DOM1,C871,C612,LogOn_Success,Kerberos,Network,Success
34,150880,150880,1,C101$@DOM1,C101$@DOM1,C1964,C1964,LogOff_Success,?,Network,Success
35,150880,150880,1,C1026$@DOM1,C1026$@DOM1,C467,C467,LogOff_Success,?,Network,Success
36,150880,150880,1,C1026$@DOM1,C1026$@DOM1,C586,C586,LogOff_Success,?,Network,Success
37,150880,150880,1,C104$@DOM1,C104$@DOM1,C105,C104,TGS_Success,?,?,Success
38,150880,150880,1,C104$@DOM1,C104$@DOM1,C105,C523,LogOn_Success,Kerberos,Network,Success
39,150880,150880,1,C104$@DOM1,C104$@DOM1,C523,C523,LogOff_Success,?,Network,Success
40,150880,150880,1,C11099$@DOM1,C11099$@DOM1,C586,C586,LogOff_Success,?,Network,Success
41,150880,150880,1,C1114$@DOM1,C1114$@DOM1,C1085,C1085,LogOff_Success,?,Network,Success
42,150880,150880,1,C1114$@DOM1,C1114$@DOM1,C1115,C101,LogOn_Success,Kerberos,Network,Success
43,150880,150880,1,C1114$@DOM1,C1114$@DOM1,C1115,C1085,LogOn_Success,Kerberos,Network,Success
44,150880,150880,1,C1122$@DOM1,C1122$@DOM1,C1122,C586,LogOn_Success,Kerberos,Network,Success
45,150880,150880,1,C11663$@DOM1,C11663$@DOM1,C586,C586,LogOff_Success,?,Network,Success
46,150880,150880,1,C11983$@DOM1,C11983$@DOM1,C612,C612,LogOff_Success,?,Network,Success
47,150880,150880,1,C1226$@DOM1,C1226$@DOM1,C612,C612,LogOff_Success,?,Network,Success
48,150880,150880,1,C123$@DOM1,C123$@DOM1,C527,C528,LogOn_Success,Kerberos,Network,Success
49,150880,150880,1,C123$@DOM1,C123$@DOM1,C527,C988,LogOn_Success,Kerberos,Network,Success
50,150880,150880,1,C123$@DOM1,C123$@DOM1,C528,C528,LogOff_Success,?,Network,Success
