correlation_id,src_user,dst_computer,event_type,start_time,end_time,event_count
1,C1001$@DOM1,C528,LogOn_Success,150913,150914,3
2,C1002$@DOM1,C467,LogOn_Success,150888,150889,2
3,C1002$@DOM1,C625,LogOn_Success,150916,150917,2
4,C101$@DOM1,C101,LogOn_Success,150902,150902,2
5,C101$@DOM1,C528,LogOff_Success,150925,150929,2
6,C10101$@DOM1,C612,LogOn_Success,150905,150908,2
7,C1026$@DOM1,C457,LogOn_Success,150913,150914,2
8,C1026$@DOM1,C467,LogOn_Success,150894,150897,3
9,C10309$@DOM1,C612,LogOn_Success,150909,150912,4
10,C10484$@DOM1,C612,LogOff_Success,150887,150888,2
11,C10484$@DOM1,C612,LogOn_Success,150887,150888,2
12,C10739$@DOM1,C1065,LogOn_Success,150891,150893,2
13,C1085$@DOM1,C1085,LogOn_Success,150918,150918,2
14,C10870$@DOM1,C10870,TGS_Success,150898,150903,2
15,C1093$@DOM1,C612,LogOn_Success,150904,150908,2
16,C1103$@DOM1,C1103,TGT_Success,150890,150891,2
17,C11086$@DOM1,C1065,LogOn_Success,150927,150929,3
18,C1114$@DOM1,C1114,TGS_Fail,150913,150916,2
19,C11266$@DOM1,C612,LogOff_Success,150899,150904,2
20,C11402$@DOM1,C612,LogOff_Success,150910,150912,2
21,C11402$@DOM1,C612,LogOn_Success,150906,150910,2
22,C1144$@DOM1,C529,LogOff_Success,150923,150924,2
23,C1144$@DOM1,C529,LogOn_Success,150909,150911,2
24,C11506$@DOM1,C625,LogOff_Success,150915,150917,2
25,C11506$@DOM1,C625,LogOn_Success,150915,150917,2
26,C11888$@DOM1,C612,LogOff_Success,150900,150904,2
27,C11902$@DOM1,C2106,LogOff_Success,150891,150894,2
28,C11902$@DOM1,C2106,LogOn_Success,150888,150893,2
29,C11934$@DOM1,C612,LogOff_Success,150909,150911,2
30,C11934$@DOM1,C612,LogOn_Success,150898,150903,2
31,C11983$@DOM1,C586,LogOn_Success,150893,150895,3
32,C12027$@DOM1,C528,LogOn_Success,150884,150888,5
33,C12168$@DOM1,C1065,LogOn_Success,150915,150916,2
34,C12168$@DOM1,C612,LogOff_Success,150915,150916,2
35,C12168$@DOM1,C612,LogOn_Success,150915,150916,3
36,C12208$@DOM1,C625,LogOn_Success,150925,150927,2
37,C123$@DOM1,C2106,LogOff_Success,150891,150894,3
38,C123$@DOM1,C2106,LogOn_Success,150890,150892,3
39,C1248$@DOM1,C586,LogOff_Success,150885,150890,2
40,C12695$@DOM1,C528,LogOn_Success,150902,150902,2
41,C12695$@DOM1,C612,LogOn_Success,150901,150905,2
42,C1271$@DOM1,C612,LogOn_Success,150901,150905,2
43,C12724$@DOM1,C625,TGS_Success,150902,150903,2
44,C12841$@DOM1,C612,LogOff_Success,150902,150906,2
45,C13166$@DOM1,C528,LogOn_Success,150890,150891,2
46,C1317$@DOM1,C586,LogOn_Success,150925,150927,2
47,C13294$@DOM1,C612,LogOff_Success,150899,150904,2
48,C1337$@DOM1,C1065,LogOn_Success,150915,150916,2
49,C13572$@DOM1,C13572,LogOn_Success,150887,150887,2
50,C13610$@DOM1,C528,LogOn_Success,150899,150903,4
51,C13619$@DOM1,C612,LogOn_Success,150919,150920,2
52,C13691$@DOM1,C586,LogOn_Success,150902,150905,2
53,C13715$@DOM1,C612,LogOff_Success,150905,150909,2
54,C1410$@DOM1,C2106,LogOn_Success,150896,150896,2
55,C14122$@DOM1,C612,LogOn_Success,150907,150910,2
56,C1450$@DOM1,C612,LogOn_Success,150902,150906,2
57,C14506$@DOM1,C586,LogOff_Success,150919,150920,2
58,C14506$@DOM1,C586,LogOn_Success,150919,150920,2
59,C14696$@DOM1,C467,LogOn_Success,150895,150896,2
60,C14856$@DOM1,C467,LogOn_Success,150925,150926,2
61,C1496$@DOM1,C529,LogOff_Success,150894,150895,2
62,C1496$@DOM1,C529,LogOn_Success,150894,150895,2
63,C1504$@DOM1,C1065,LogOn_Success,150905,150907,3
64,C15257$@DOM1,C1640,TGS_Success,150910,150912,2
